Especially true if there is an impulsive, thin-skinned bully who likes to silence critics &amp; opponents as president. #voxconversations	2	20553
Be happy not because everything is good, but because you can see the good side of everything. 	3	31447
Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of .	0	11488
@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair	5	40037
@GreatFallVoyagr #bitter sums it up! Congrats Nicole! that's all folks #bb18 now onto #survivor !	0	11448
If Monday had a face I would punch it #monday  #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow	2	20789
Val having a nervous breakdown #floss #GBBO	2	21879
@VosachResrus ^'ll just #wobble carry you #sink	5	40528
Idk why but this Time around its so hard that it hurts, I already miss them all so much #silly #family #friends #nervous	2	22128
Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet	0	10107
@stoozyboy1 @chris_sutton73 😂😂 Oh the zombie rage 😂	0	10670
i is sad	5	40103
it's horrible cos no one can relate,  everyone is happy and dandy in one way or another	2	21247
@LucidBurrito Doesnt do it to anyone else, he literally pulled me into the office cause someone complained I spit in the sink yesterday	5	40438
Go follow #beautiful #Snowgang â™¥@Amynicolehill12 â™¥ #Princess #fitness #bodyposi #haircut #smile #Whitegirlwednesday	3	30242
Undifferentiated otherwise patent closest patron braininess ideas that incense the offensive lineman: wHYaNEWG	0	11521
@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.)	0	11200
Ya tremble like Mr. Cooper, yo we hanging	2	21711
I hate not having the answers I need. #tomourssuck #prayinsnotcancer 	0	11450
@BrightPigSEO @BrightPigSEO we provide dignified and professional funerals at prices families can afford #satisfied clients #bright pig	3	30612
Forgot to plug the phone in overnight 	2	20752
Riding at night has got to be one of the most exhilarating, refreshing things I have ever done.	3	30190
My encouragement today is my dog while my head is in a fog. #epicfail #depression #feelingfedup #tired #ihaveheardeverything #wondering	5	41202
ðŸ˜± @cailamarsai you've had me ðŸ˜‚ ðŸ˜‚ the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo	3	30014
It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200	5	40067
Regardless of your age or station in life, it all comes down to one simple truth: you just have to #start. - Jon Acuff #inspiring #quote	2	20960
