6018 "I am always ready to ." 2 30525
49 "@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼" 1 10990
5001 "if anyone spoils any of my fucking shows I will haunt you in the afterlife so help me god" 0 20655
625 "James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18  #shouldofVotedforNicole" 1 11566
1689 "@christyfrink @stephenyeargin @El_Brandino I once hooked them up backward. Not recommended. #smoke #panic" 0 22186
3100 "I know I've painted quite a grim picture of your chances. But if you simply stand here, we will both surely die." 3 41491
1790 "American Schools are lively" 2 30937
2350 "@KillerInASuit - now getting banned but will still lurk in corners and underneath the bed and sofa, much to Eyepatch's delight. Why is she -" 2 31497
4388 "@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets..." 0 20042
6669 "Everything is far away because time is short, no rest for the weary." 3 40353
3571 "The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks" 1 10082
5087 "The irony in that last is that Republicans - more likely to watch Fox News - distrust the news media more. Yet they can't see Fox's lies!" 0 20741
2108 "@OccasionalGod isn't that the reason horror is popular? the exhilaration that comes from discomfort is enjoyable -- watch The Green Room :D" 2 31255
3241 "@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn" 0 21162
4156 "@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat" 1 10667
7034 "Learning to trust God can quiet a troubled &amp; restless heart, bring peace to a weary soul, &amp; eliminate the hopelessness that #addiction is!" 3 40718
5065 "We Are Source!!\n\n#mindset #philosophy #thoughtsbecomethings #news #lifehacks #fear #you #LIFE #PleaseRT #ProblemSolving" 0 20719
4180 "srry my feelings offend u 🤗" 1 10691
613 "Honestly fuming" 1 11554
5196 "@UndeadLayne @Lauren_Southern all the bully" 0 20850
1015 "Why are all of these people leaving Blizzard??? D: It's giving me a frighten!" 0 21512
337 "Everton not playing and fume on here have day off" 1 11278
4565 "And here we go again ðŸ˜“ #restless" 0 20219
6085 "@GNRailUK There's gonna be street parties when you lot leave. Spontaneous rejoicing. Clowns." 2 30592
6230 "@weebtard sparkling water wyd" 2 30737
6603 "Hope was an instinct only the reasoning human mind could kill. An animal never knew despair." 3 40287
1306 "Chart music is pretty much ALL the same.. " 0 21803
5825 "Watch this amazing live.ly broadcast by @maisiev #lively #musically" 2 30332
6527 "@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost" 3 40211
6666 "So now... yeah. I'm home again.\nStill feeling mixed up inside &amp; kinda gloomy. But a little more optimistic that I'll figure this out." 3 40350
2643 "@othrcarl @IX_SW @purenift I'm sadly not, I'm just being smutty" 3 41034
675 "That last #madden commercial ðŸ˜†ðŸ˜†ðŸ˜†ðŸ˜†ðŸ˜†ðŸ˜† #TNF" 1 11616
1056 "@mylittlepwnies3 \n&gt; #terrorism coffee addict\n&gt; blocks cats, writers, artists and hedonists" 0 21553
383 "Its worth noting that despite the animosity between the US president and the Israeli president they both behaved as gentleman." 1 11324
5042 "Heard of panic! At the disco? How about Kach-ing! at the ATM" 0 20696
6132 "@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;" 2 30639
463 "@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage" 1 11404
1567 "@TheSidEudy PS: I still think your broken leg against Scott Steiner was one of the most horrific injuries I've ever seen in the ring #ccot" 0 22064
250 "@KatherineArabis Itâ€™s taken for granted, while the misogyny in the air is treated as normal â€” and any angry response to it as pathological." 1 11191
7017 "@cburt43 turn that frown upside down" 3 40701
845 "@kohara19 It's a rare land octopus. Be very afraid." 0 21342
5751 "It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny  #lol" 2 30258
1445 "@JoyOfBearding The Haunting is my favorite horror movie too! Actually one of my favorite movies of all time no matter the genre." 0 21942
4063 "@MMASOCCERFAN @outmagazine No offense but the only way this makes sense is if you work for the magazine. Otherwise,who are you apologizing 4" 1 10574
2003 "Sharpened a pencil today, haven't sharpened once since 1999. âœï¸ " 2 31150
4124 "When anger rises, think of the consequences. #quote #wisdom #anger" 1 10635
4631 "@Sami_3499 Oh noooo!  #nomorehammocks #nightmare ;)" 0 20285
5481 "@bothsocial Thanks for the follow! Hope youâ€™re having a terrific day!" 0 21135
3593 "@kingvee_ don't provoke me to anger" 1 10104
4064 "Nahhhhhh @konanplaydirty snap story has got me bussing up 😂😂😂😂😂😂😂😂😂😂😂😂😂😂" 1 10575
4845 "Thought I left that part of life behind me\nIt's back to haunt every girl that loves me" 0 20499
6698 "@iTriborg — make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful —" 3 40382
6375 "Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁" 3 40059
3440 "SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober" 3 40811
1308 "just looked at wood's goal again and i dont think his first chance is that bad a miss, horrible height hit hard and level,did well to hit it" 0 21805
23 "@crystaldiamondo impossible to say. We can only hope that I donâ€™t unwittingly trigger her ferocious side again. Hell hath no fury.." 1 10964
5734 "What if.... the Metro LRT went over the Walterdale?!?! ðŸ˜‚ #yeg " 2 30241
4294 "Mm, okay. Ham for you and turkey for me.' Gives his hair a ruffle before heading back in the kitchen to set out the &gt;&gt;\n@DarkSithKenobi" 1 10805
2020 "((things that grind my gears: people drawing gideon gleeful skinny" 2 31167
4746 "@CP24 And I hope when the police met him at the subway that they took him straight to jail ðŸ˜• #awful" 0 20400
1130 "Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants." 0 21627
6583 "We lost" 3 40267
4301 "@wesrucker247 sounds like a good game plan for our offense...." 1 10812
2237 "@ToyStoriesInt They look FAB, they were made for the big screen!Can't wait to see this evolve &amp; the bright future of these little toy people" 2 31384
767 "US you need to band together not apart #nevertrump he promotes hatred and fuels #fear" 0 21264
3616 "I just love it when people make plans for me without actually including me in this process #rage" 1 10127
1322 "I don't know what WiFi/ISP Rivertide Suites in Seaside #Oregon uses. But 53ms ping best I can get and a D/L test won't complete.. #terrible" 0 21819
1079 "@TheRachelFisher i've seen a bunch of that on another twitter feed and I remember you had an opinion on it #shocking" 0 21576
4044 "@RegalisAzura \ngrasp the cobalt woman's own; which they did fairly easily. Fair cheeks would ignite into a fiery hue. Warm.. was the only" 1 10555
306 "Someone throw a snap dance party for LO. Rest Up big Homie ðŸ™ðŸ¾" 1 11247
2747 "I'm allowed to sulk" 3 41138
698 "I'm not sure if burning and looting really can positively impact a community" 1 11639
559 "@politicalTigres @Saifullah_Uchvi welcome ji . sorry for words that irritate u" 1 11500
2756 "I should have stayed at home." 3 41147
189 "@o2academybham since when the fuck can you not stand at a concert? #raging" 1 11130
5379 "@TheOnlySweeney their slogan should've been #start instead of #finish" 0 21033
2508 "Back in the big time after selection last night. Absolutely buzzing. Bring on the roaches #SG16 #kickittomehigh #nswgaa #blues #statevstate" 3 40899
4386 "First day of college feeling nervous" 0 20040
4090 "straight people are canoodling on the quad and I'm " 1 10601
6220 "At 12:01, Tumblr became sentient. At 1.:02, Tumblr posted gn animated gif about it. At 12:03, Tumblr shipped itself." 2 30727
5187 "I've used Dey Know as my alarm clock song throughout college #RIPShawtyLo" 0 20841
