In inter-group relationships, #anger makes people think in more negative and prejudiced terms about outsiders.	0	11460
Are you #serious that #fredsirieix lives in Peckham......South London's own #Love Guru(big up)	5	41006
Goddamn headache. #anger	0	11470
@marcavis @AntisocialJW2 I've always been fiery, but never radical.	0	10922
@metrotrains why is there no disabled access at pontefract monkhill? 	2	20717
I really love the customer service @LifeProof they're always so nice, helpful and cheerful !	3	30066
ya girl is 	0	11676
David Gilmour's biggest compliment? B.B. King asked him after a gig if he was born in Mississippi #pinkfloyd #theblues #davidgilmour #blues	5	41114
both afraid of all the same things	2	20161
the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol	3	30561
@AshitaNoJoe55 i m not a big fan of @mkatju , but what i found logical and right.. i support that... no offense to anyone	0	11689
@aradsliff don't know I'm from nj we are the worst on purpose. #laughter	3	30451
Do not grow weary in doing good. The treadlines are better than deadlines.' @billclinton #CGI2016	5	40536
@aIakazamjackass been better. It's really stupid don't worry	2	20882
@MSNBC @fox @cnn @realDonaldTrump @HillaryClinton. Using fear to state his views. Not getting the facts before making a serious statement???	2	22120
Cheap pout my brodcast	0	10835
@iamsrk what's up w the gender bias? #indignant This fancypants saddler's daughter will opt for the leather jacket, thank you very much.	0	10397
Checked-in for my flight to Toronto. Took seat 3D just to infuriate @perpetualgeek.	0	10504
@Bietron 🤓 dont be sad.. btw good night davina..go sleep larh..	5	40605
But the lady at the store said I had nice eyelashes so that's good, right? #optimism? @verizon	3	31251
@lyskoi anyway, I found a short scale today that was perfect for my purposes. soft on the hands, won't aggravate my (now-chronic) tendonitis	0	10685
5 person of renown cheerful expectation solutions-pleasure principle back: HsNHZMJSc	3	31548
@Babylonian I convinced my mom to watch it. Killgrave gave her literal nightmares, but watched last episode four times. 	3	31456
@CNN Wait, didn't she get a case of the ass when Donald Trump called it terrorism BEFORE all the facts were in?  I guess it's ok if she does	2	20483
God hears your voice optimism at the moment that you think that everything has failed you âœ¨.	3	30944
Fast and furious 6 this Monday 10 pm on mbc 2 ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜	0	10971
I am always ready to .	3	30525
a vote for #killary is like sticking a knife in a toaster #shocking #MakeAmericaGreatAgain	2	20482
Their engine runs on fuel called whining :-)\n\nU jst  hv 2b observant..\nHar din Rona dhona &amp; complain. \nHappy news makes them unhappy :-)	5	41414
Huns are like a box of coffee revels #horrible	2	20898
@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜	0	10944
